,lat,lon,value,geometry,id
0,1275545.70781,98176.9837799999,1.0,POINT (98176.98377999989 1275545.70781),1
1,1324805.70781,643666.9837799999,1.0,POINT (643666.9837799999 1324805.70781),2
2,1136855.70781,925426.9837799999,1.0,POINT (925426.9837799999 1136855.70781),3
3,1187255.70781,730036.9837799999,1.0,POINT (730036.9837799999 1187255.70781),4
4,1216925.70781,534706.9837799999,1.0,POINT (534706.9837799999 1216925.70781),5
5,1240025.70781,649786.9837799999,1.0,POINT (649786.9837799999 1240025.70781),6
6,918155.70781,-40693.01622000011,1.0,POINT (-40693.01622000011 918155.7078100001),7
7,1268705.70781,379966.9837799999,1.0,POINT (379966.9837799999 1268705.70781),8
8,1404335.70781,139186.9837799999,1.0,POINT (139186.9837799999 1404335.70781),9
9,1106315.70781,1115416.98378,1.0,POINT (1115416.98378 1106315.70781),10
10,1282235.70781,426916.9837799999,1.0,POINT (426916.9837799999 1282235.70781),11
11,1187885.70781,753976.9837799999,1.0,POINT (753976.9837799999 1187885.70781),12
12,1164275.70781,843856.9837799999,1.0,POINT (843856.9837799999 1164275.70781),13
13,1342025.70781,670216.9837799999,1.0,POINT (670216.9837799999 1342025.70781),14
14,1388825.70781,525376.9837799999,1.0,POINT (525376.9837799999 1388825.70781),15
15,1442705.70781,142156.9837799999,1.0,POINT (142156.9837799999 1442705.70781),16
16,1235135.70781,546256.9837799999,1.0,POINT (546256.9837799999 1235135.70781),17
17,936905.70781,1434526.98378,1.0,POINT (1434526.98378 936905.7078100001),18
18,1139855.70781,919276.9837799999,1.0,POINT (919276.9837799999 1139855.70781),19
19,1202645.70781,655726.9837799999,1.0,POINT (655726.9837799999 1202645.70781),20
20,1350305.70781,582196.9837799999,1.0,POINT (582196.9837799999 1350305.70781),21
21,1259525.70781,317206.9837799999,1.0,POINT (317206.9837799999 1259525.70781),22
22,1190615.70781,840406.9837799999,1.0,POINT (840406.9837799999 1190615.70781),23
23,1312115.70781,372976.9837799999,1.0,POINT (372976.9837799999 1312115.70781),24
24,1031735.70781,1266826.98378,1.0,POINT (1266826.98378 1031735.70781),25
25,1144325.70781,905356.9837799999,1.0,POINT (905356.9837799999 1144325.70781),26
26,1304855.70781,365656.9837799999,1.0,POINT (365656.9837799999 1304855.70781),27
27,1216685.70781,645916.9837799999,1.0,POINT (645916.9837799999 1216685.70781),28
28,1189925.70781,735976.9837799999,1.0,POINT (735976.9837799999 1189925.70781),29
29,1193435.70781,742126.9837799999,1.0,POINT (742126.9837799999 1193435.70781),30
30,1169915.70781,843796.9837799999,1.0,POINT (843796.9837799999 1169915.70781),31
31,1157045.70781,846106.9837799999,1.0,POINT (846106.9837799999 1157045.70781),32
32,1275455.70781,113116.9837799999,1.0,POINT (113116.9837799999 1275455.70781),33
33,1091975.70781,216106.9837799999,1.0,POINT (216106.9837799999 1091975.70781),34
34,1227215.70781,620986.9837799999,1.0,POINT (620986.9837799999 1227215.70781),35
35,1204685.70781,747766.9837799999,1.0,POINT (747766.9837799999 1204685.70781),36
36,1211645.70781,653806.9837799999,1.0,POINT (653806.9837799999 1211645.70781),37
37,1206215.70781,805906.9837799999,1.0,POINT (805906.9837799999 1206215.70781),38
38,1292255.70781,82936.9837799999,1.0,POINT (82936.98377999989 1292255.70781),39
39,1018835.70781,1263766.98378,1.0,POINT (1263766.98378 1018835.70781),40
40,1260065.70781,659866.9837799999,1.0,POINT (659866.9837799999 1260065.70781),41
41,1314605.70781,373936.9837799999,1.0,POINT (373936.9837799999 1314605.70781),42
42,1147625.70781,1004266.9837799999,1.0,POINT (1004266.98378 1147625.70781),43
43,1403885.70781,92716.9837799999,1.0,POINT (92716.98377999989 1403885.70781),44
44,1260365.70781,654556.9837799999,1.0,POINT (654556.9837799999 1260365.70781),45
45,1149605.70781,294106.9837799999,1.0,POINT (294106.9837799999 1149605.70781),46
46,1534475.70781,429136.9837799999,1.0,POINT (429136.9837799999 1534475.70781),47
47,1336595.70781,578206.9837799999,1.0,POINT (578206.9837799999 1336595.70781),48
48,1218245.70781,656806.9837799999,1.0,POINT (656806.9837799999 1218245.70781),49
49,1215545.70781,600496.9837799999,1.0,POINT (600496.9837799999 1215545.70781),50
50,1204175.70781,797326.9837799999,1.0,POINT (797326.9837799999 1204175.70781),51
51,1221035.70781,528826.9837799999,1.0,POINT (528826.9837799999 1221035.70781),52
52,990755.70781,29686.983779999893,1.0,POINT (29686.98377999989 990755.7078100001),53
53,1250735.70781,582196.9837799999,1.0,POINT (582196.9837799999 1250735.70781),54
54,1294775.70781,355876.9837799999,1.0,POINT (355876.9837799999 1294775.70781),55
55,1279595.70781,403756.9837799999,1.0,POINT (403756.9837799999 1279595.70781),56
56,1239605.70781,542716.9837799999,1.0,POINT (542716.9837799999 1239605.70781),57
57,1374785.70781,607696.9837799999,1.0,POINT (607696.9837799999 1374785.70781),58
58,1018685.70781,1271866.98378,1.0,POINT (1271866.98378 1018685.70781),59
59,1271315.70781,469846.9837799999,1.0,POINT (469846.9837799999 1271315.70781),60
60,1175105.70781,865006.9837799999,1.0,POINT (865006.9837799999 1175105.70781),61
61,1202375.70781,799876.9837799999,1.0,POINT (799876.9837799999 1202375.70781),62
62,1095095.70781,960076.9837799999,1.0,POINT (960076.9837799999 1095095.70781),63
63,1262345.70781,641866.9837799999,1.0,POINT (641866.9837799999 1262345.70781),64
64,1412195.70781,111226.9837799999,1.0,POINT (111226.9837799999 1412195.70781),65
65,1130495.70781,219856.9837799999,1.0,POINT (219856.9837799999 1130495.70781),66
66,1265885.70781,357496.9837799999,1.0,POINT (357496.9837799999 1265885.70781),67
67,1226525.70781,620026.9837799999,1.0,POINT (620026.9837799999 1226525.70781),68
68,1142825.70781,905386.9837799999,1.0,POINT (905386.9837799999 1142825.70781),69
69,1182845.70781,748486.9837799999,1.0,POINT (748486.9837799999 1182845.70781),70
70,1404425.70781,83566.9837799999,1.0,POINT (83566.98377999989 1404425.70781),71
71,1115495.70781,1114786.98378,1.0,POINT (1114786.98378 1115495.70781),72
72,1266785.70781,643366.9837799999,1.0,POINT (643366.9837799999 1266785.70781),73
73,1181855.70781,580636.9837799999,1.0,POINT (580636.9837799999 1181855.70781),74
74,1291775.70781,329176.9837799999,1.0,POINT (329176.9837799999 1291775.70781),75
75,1170695.70781,854806.9837799999,1.0,POINT (854806.9837799999 1170695.70781),76
76,1077245.70781,976936.9837799999,1.0,POINT (976936.9837799999 1077245.70781),77
77,1183955.70781,748816.9837799999,1.0,POINT (748816.9837799999 1183955.70781),78
78,992405.70781,1288216.98378,1.0,POINT (1288216.98378 992405.7078100001),79
79,1288715.70781,325366.9837799999,1.0,POINT (325366.9837799999 1288715.70781),80
80,1412555.70781,92056.9837799999,1.0,POINT (92056.98377999989 1412555.70781),81
81,1293695.70781,406756.9837799999,1.0,POINT (406756.9837799999 1293695.70781),82
82,1222055.70781,604846.9837799999,1.0,POINT (604846.9837799999 1222055.70781),83
83,1286555.70781,325636.9837799999,1.0,POINT (325636.9837799999 1286555.70781),84
84,1230965.70781,483796.9837799999,1.0,POINT (483796.9837799999 1230965.70781),85
85,1220705.70781,487426.9837799999,1.0,POINT (487426.9837799999 1220705.70781),86
86,1184465.70781,68056.9837799999,1.0,POINT (68056.98377999989 1184465.70781),87
87,1151345.70781,1032496.9837799999,1.0,POINT (1032496.98378 1151345.70781),88
88,1196555.70781,77116.9837799999,1.0,POINT (77116.98377999989 1196555.70781),89
89,1271405.70781,306526.9837799999,1.0,POINT (306526.9837799999 1271405.70781),90
90,1269185.70781,470056.9837799999,1.0,POINT (470056.9837799999 1269185.70781),91
91,1247045.70781,576406.9837799999,1.0,POINT (576406.9837799999 1247045.70781),92
92,1183115.70781,714916.9837799999,1.0,POINT (714916.9837799999 1183115.70781),93
93,1238105.70781,287806.9837799999,1.0,POINT (287806.9837799999 1238105.70781),94
94,1118945.70781,910276.9837799999,1.0,POINT (910276.9837799999 1118945.70781),95
95,1280165.70781,500326.9837799999,1.0,POINT (500326.9837799999 1280165.70781),96
96,1217675.70781,782446.9837799999,1.0,POINT (782446.9837799999 1217675.70781),97
97,1241705.70781,268246.9837799999,1.0,POINT (268246.9837799999 1241705.70781),98
98,1191005.70781,579406.9837799999,1.0,POINT (579406.9837799999 1191005.70781),99
99,1217225.70781,577336.9837799999,1.0,POINT (577336.9837799999 1217225.70781),100
100,1188965.70781,676546.9837799999,1.0,POINT (676546.9837799999 1188965.70781),101
101,1260755.70781,356536.9837799999,1.0,POINT (356536.9837799999 1260755.70781),102
102,1331405.70781,687286.9837799999,1.0,POINT (687286.9837799999 1331405.70781),103
103,1228175.70781,83896.9837799999,1.0,POINT (83896.98377999989 1228175.70781),104
104,1321235.70781,637726.9837799999,1.0,POINT (637726.9837799999 1321235.70781),105
105,1118045.70781,927436.9837799999,1.0,POINT (927436.9837799999 1118045.70781),106
106,1227035.70781,89536.9837799999,1.0,POINT (89536.98377999989 1227035.70781),107
107,1278875.70781,303736.9837799999,1.0,POINT (303736.9837799999 1278875.70781),108
108,1206815.70781,678016.9837799999,1.0,POINT (678016.9837799999 1206815.70781),109
109,1336685.70781,660496.9837799999,1.0,POINT (660496.9837799999 1336685.70781),110
110,1167815.70781,741676.9837799999,1.0,POINT (741676.9837799999 1167815.70781),111
111,1287275.70781,319366.9837799999,1.0,POINT (319366.9837799999 1287275.70781),112
112,1192655.70781,66736.9837799999,1.0,POINT (66736.98377999989 1192655.70781),113
113,1225565.70781,600166.9837799999,1.0,POINT (600166.9837799999 1225565.70781),114
114,1212185.70781,673006.9837799999,1.0,POINT (673006.9837799999 1212185.70781),115
115,1185455.70781,676306.9837799999,1.0,POINT (676306.9837799999 1185455.70781),116
116,1382345.70781,573946.9837799999,1.0,POINT (573946.9837799999 1382345.70781),117
117,1150925.70781,1012516.9837799999,1.0,POINT (1012516.98378 1150925.70781),118
118,1403105.70781,573136.9837799999,1.0,POINT (573136.9837799999 1403105.70781),119
119,1056485.70781,1237366.98378,1.0,POINT (1237366.98378 1056485.70781),120
120,1144085.70781,1102336.98378,1.0,POINT (1102336.98378 1144085.70781),121
121,1210625.70781,654136.9837799999,1.0,POINT (654136.9837799999 1210625.70781),122
122,1271075.70781,382936.9837799999,1.0,POINT (382936.9837799999 1271075.70781),123
123,1254335.70781,301606.9837799999,1.0,POINT (301606.9837799999 1254335.70781),124
124,1242965.70781,692356.9837799999,1.0,POINT (692356.9837799999 1242965.70781),125
125,1240715.70781,804346.9837799999,1.0,POINT (804346.9837799999 1240715.70781),126
126,1021355.70781,1269406.98378,1.0,POINT (1269406.98378 1021355.70781),127
127,1299005.70781,355576.9837799999,1.0,POINT (355576.9837799999 1299005.70781),128
128,1190585.70781,65716.9837799999,1.0,POINT (65716.98377999989 1190585.70781),129
129,1257065.70781,700126.9837799999,1.0,POINT (700126.9837799999 1257065.70781),130
130,1358855.70781,606706.9837799999,1.0,POINT (606706.9837799999 1358855.70781),131
