,lat,lon,value,geometry,id
0,1225985.70781,334186.98378,1.0,POINT (334186.98378 1225985.70781),1
1,1254455.70781,641566.98378,1.0,POINT (641566.98378 1254455.70781),2
2,1433915.70781,487906.98378,1.0,POINT (487906.98378 1433915.70781),3
3,970565.70781,1286536.98378,1.0,POINT (1286536.98378 970565.7078100001),4
4,1306295.70781,670126.98378,1.0,POINT (670126.98378 1306295.70781),5
5,1452725.70781,210766.98378,1.0,POINT (210766.98378 1452725.70781),6
6,1188185.70781,583216.98378,1.0,POINT (583216.98378 1188185.70781),7
7,1280555.70781,640966.98378,1.0,POINT (640966.98378 1280555.70781),8
8,1206095.70781,1009036.98378,1.0,POINT (1009036.98378 1206095.70781),9
9,1271855.70781,453526.98378,1.0,POINT (453526.98378 1271855.70781),10
10,1289945.70781,-3463.0162199999904,1.0,POINT (-3463.01621999999 1289945.70781),11
11,1130165.70781,327886.98378,1.0,POINT (327886.98378 1130165.70781),12
12,1334045.70781,492226.98378,1.0,POINT (492226.98378 1334045.70781),13
13,1088045.70781,1015606.98378,1.0,POINT (1015606.98378 1088045.70781),14
14,1101575.70781,165466.98378,1.0,POINT (165466.98378 1101575.70781),15
15,1176755.70781,785416.98378,1.0,POINT (785416.98378 1176755.70781),16
16,957515.70781,-32983.01621999999,1.0,POINT (-32983.01621999999 957515.7078100001),17
17,1322945.70781,339916.98378,1.0,POINT (339916.98378 1322945.70781),18
18,1248125.70781,547306.98378,1.0,POINT (547306.98378 1248125.70781),19
19,1343075.70781,534346.98378,1.0,POINT (534346.98378 1343075.70781),20
20,1341155.70781,509926.98378,1.0,POINT (509926.98378 1341155.70781),21
21,1090175.70781,966406.98378,1.0,POINT (966406.98378 1090175.70781),22
22,1207295.70781,518596.98378,1.0,POINT (518596.98378 1207295.70781),23
23,1154675.70781,35746.98378000001,1.0,POINT (35746.98378000001 1154675.70781),24
24,1165565.70781,60886.98378000001,1.0,POINT (60886.98378000001 1165565.70781),25
25,1156895.70781,86146.98378000001,1.0,POINT (86146.98378000001 1156895.70781),26
26,1118675.70781,1095646.98378,1.0,POINT (1095646.98378 1118675.70781),27
