lat,lon,value,id,class,image_date,image_source,notes,discard,reason
1144925.708,999406.9838,1,1,s,6/26/2014,maxar,seasonal snow,,
1317875.708,50986.98378,1,2,n,14-Dec,landsat,,,
1585835.708,318616.9838,1,3,n,16-Dec,landsat,,,
859835.7078,1421116.984,1,4,f,3/17/2005,maxar,,,
1328735.708,556396.9838,1,5,n,9/11/2010,maxar,,,
1167695.708,384616.9838,1,6,n,9/5/2010,maxar,,,
1182425.708,540076.9838,1,7,n,9/6/2004,maxar,,,
1049465.708,44476.98378,1,8,w,16-Dec,landsat,,,
1052255.708,8566.98378,1,9,n,16-Dec,landsat,,,
1638125.708,350596.9838,1,10,f,9/3/2002,maxar,,,
1593245.708,197746.9838,1,11,f,9/24/2010,maxar,,,
896465.7078,-129403.0162,1,12,n,12/1/2016,landsat,,,
865175.7078,-218173.0162,1,13,n,12/1/2016,landsat,,,
762455.7078,1389106.984,1,14,n,12/1/2016,landsat,,,
1263215.708,237526.9838,1,15,f,7/5/2018,maxar,,,
1410335.708,81016.98378,1,16,u,12/1/2016,landsat,likely not glacier,,
1304255.708,310996.9838,1,17,n,5/29/2017,na,some snow,,
1344725.708,72496.98378,1,18,f,12/1/2016,landsat,,,
1502675.708,110476.9838,1,19,f,8/12/2008,maxar,,,
855545.7078,-132283.0162,1,20,n,12/1/2016,landsat,,,
933545.7078,1370596.984,1,21,n,12/1/2016,landsat,,,
1017515.708,-284773.0162,1,22,n,5/24/2006,maxar,,,
1154465.708,-421483.0162,1,23,n,7/7/2012,maxar,,,
1426475.708,484456.9838,1,24,n,8/4/2015,maxar,,,
740825.7078,1334686.984,1,25,w,12/1/2016,landsat,,,
1119005.708,1065466.984,1,26,n,11/23/2006,maxar,some snow,,
1133825.708,149326.9838,1,27,f,5/14/2017,maxar,,,
1012595.708,-167143.0162,1,28,n,6/20/2012,maxar,,,
1409435.708,196096.9838,1,29,n,5/30/2017,maxar,,,
1399205.708,620926.9838,1,30,f,9/13/2009,maxar,,,
759185.7078,1402126.984,1,31,w,12/1/2016,landsat,,,
1190675.708,-283813.0162,1,32,n,12/1/2016,landsat,,,
835295.7078,-124723.0162,1,33,n,12/1/2016,landsat,,,
1603145.708,433276.9838,1,34,f,4/8/2012,maxar,,,
