lat,lon,value,id,class,image_date,image_source,notes,discard,reason
1175855.708,67396.98378,1,1,u,,,,,
930575.7078,1411636.984,1,2,u,,,,,
938765.7078,-17863.01622,1,3,d,9/15/2013,Maxar,could also be nanuk,n,
1453805.708,173386.9838,1,4,s,8/31/2015,Maxar,morrain,m,
1429235.708,106546.9838,1,5,g,8/31/2015,Maxar,,,
1151645.708,213466.9838,1,6,u,,,,,
1171295.708,713356.9838,1,7,d,6/12/2015,Maxar,could also be melt pond,,
1377725.708,624736.9838,1,8,s,7/9/2010,Maxar,seasonal mountain snow,,
930395.7078,-52633.01622,1,9,s,Dec-16,Maxar,very hard to decide,m,
1506815.708,476116.9838,1,10,u,,,very hard to decide,m,
1086065.708,193516.9838,1,11,g,4/16/2011,na,,,
1110035.708,1078486.984,1,12,w,,,,y,
1262375.708,380536.9838,1,13,u,5/29/2017,na,likely seasaonal mtn snow conflation,,
1308545.708,10396.98378,1,14,n,Dec-16,landsat,higher elevation,y,
1270385.708,700276.9838,1,15,u,8/1/2010,Maxar,very close to the edge of a glacier ,,
899735.7078,1452736.984,1,16,u,,landsat,might be a glacier,,
1496975.708,211306.9838,1,17,n,7/29/2014,Maxar,"not a glacier, may have been ",,
1490825.708,178006.9838,1,18,d,5/31/2017,na,could be just bare ground,,
1052915.708,1191196.984,1,19,w,,,,y,
1186835.708,851086.9838,1,20,g,16-Dec,landsat,likely glacier but near bare ,,
1184165.708,285346.9838,1,21,u,,,near glacier ,,
1269785.708,620086.9838,1,22,u,7/17/2009,Maxar,possible former glacier or d,,
1234685.708,570946.9838,1,23,sh,16-Dec,landsat,above glacier areas,,
1390655.708,293176.9838,1,24,n,Dec-13,landsat,likely seasaonal mtn snow conflation,,
1544555.708,338326.9838,1,25,d,12/20/2013,Maxar,could also have some morrain,,
1183595.708,517756.9838,1,26,u,,landsat,likely seasaonal mtn snow conflation,,
1264805.708,681226.9838,1,27,u,7/15/2008,Maxar,near glacier ,,
1534355.708,418396.9838,1,28,g,7/15/2008,Maxar,also shaded and possibly above glacier,,
1114655.708,1171396.984,1,29,u,16-Dec,landsat,likely glacier ,,
1235645.708,87646.98378,1,30,g,12/30/2016,Maxar,,,
1200245.708,279046.9838,1,31,n,Jun-19,maxar/cnes,likely seasaonal mtn snow conflation,,
1209425.708,1018126.984,1,32,u,,,,y,no image
1287335.708,73606.98378,1,33,n,Dec-16,landsat,near glacier ,,
935375.7078,1381366.984,1,34,u,,,,y,no image
