lat,lon,value,id,class,image_date,image_source,notes,discard,reason
1199135.708,667246.9838,1,1,u,16-Dec,landsat,very likely glacier,,
1210745.708,601066.9838,1,2,d,6/15/2015,Maxar,some debris,,
1259105.708,644596.9838,1,3,g,7/15/2008,Maxar,very likely glacier,,
1271285.708,421186.9838,1,4,d,9/16/2010,Maxar,likely some snow conflation ,,
1500845.708,367306.9838,1,5,u,16-Dec,landsat,likely some snow conflation ,,
1249505.708,274546.9838,1,6,u,,,,y,image too early 
1440155.708,145996.9838,1,7,g,5/31/2017,na,,,
1214075.708,485566.9838,1,8,g,17-May,landsat,some shadow,,
1249355.708,580186.9838,1,9,u,9/11/2010,Maxar,likely some snow conflation ,,
988325.7078,1305586.984,1,10,g,16-Dec,landsat,,,
1111955.708,929596.9838,1,11,g,5/27/2015,Maxar,,,
1350845.708,548986.9838,1,12,u,5/20/2015,Maxar,missing image,,
1151375.708,1015126.984,1,13,g,7/3/2015,Maxar,,,
1343465.708,632296.9838,1,14,g,6/15/2014,Maxar,likely some snow conflation ,,
1167095.708,71296.98378,1,15,g,6/19/2005,Maxar,,,
1213475.708,82846.98378,1,16,u,16-Dec,landsat,likely some snow conflation ,,
1226945.708,1032016.984,1,17,g,5/13/2016,Maxar,likely some snow conflation,,
992105.7078,1281946.984,1,18,u,16-Dec,landsat,very likely glacier,,
1271645.708,433786.9838,1,19,g,10/1/2018,Maxar,some cloud,,
1153115.708,292936.9838,1,20,g,18-Oct,landsat,close to some nunataks,,
1174955.708,580966.9838,1,21,g,8/27/2012,Maxar,very close to ocean and some debris,,
1520975.708,437926.9838,1,22,u,16-Dec,landsat,very likely glacier,,
1243475.708,423796.9838,1,23,u,5/29/2017,Maxar,possilbe snow conflation,,
1512785.708,383926.9838,1,24,g,17-May,landsat,,,
1134365.708,224506.9838,1,25,g,18-Nov,Maxar,,,
1241165.708,301456.9838,1,26,g,9/10/2011,Maxar,very close to the edge,,
1206245.708,715786.9838,1,27,g,6/23/2015,Maxar,some debris,,
1142705.708,234916.9838,1,28,g,15-Aug,Maxar,,,
1211465.708,784936.9838,1,29,g,6/30/2014,Maxar,,,
1080185.708,947386.9838,1,30,d,5/27/2014,Maxar,,,
1287335.708,327676.9838,1,31,g,5/29/2017,Maxar,,,
941675.7078,1138036.984,1,32,g,8/18/2012,Maxar,very close to the edge,,
1019345.708,1249066.984,1,33,u,16-Dec,landsat,possilbe snow conflation,,
1131515.708,39826.98378,1,34,g,8/1/2015,Maxar,,,
1070975.708,1207906.984,1,35,g,8/2/2014,Maxar,,,
1195895.708,556396.9838,1,36,d,7/2/2009,Maxar,,,
1170395.708,810256.9838,1,37,u,16-Dec,landsat,possilbe snow conflation,,
1377785.708,511396.9838,1,38,u,16-Dec,landsat,very likely glacier,,
1217555.708,708556.9838,1,39,g,8/28/2013,Maxar,,,
1181255.708,281026.9838,1,40,u,,,,y,no recent image
1246925.708,271636.9838,1,41,g,4/14/2011,USGS,some snow,,
1278395.708,443896.9838,1,42,u,9/4/2009,Maxar,bad image,,
1421735.708,151396.9838,1,43,n,5/31/2017,na,likely morrain,,
1338035.708,556306.9838,1,44,g,5/20/2015,Maxar,some snow,,
1176005.708,835546.9838,1,45,g,16-Dec,landsat,,,
1001765.708,1256146.984,1,46,g,8/2/2014,landsat,,,
1128635.708,25216.98378,1,47,g,5/23/2014,Maxar,some snow,,
1533245.708,304216.9838,1,48,s,16-Dec,landsat,likely snow conflation,,
1127975.708,929416.9838,1,49,u,16-Dec,landsat,very likely glacier,,
1515995.708,373246.9838,1,50,g,16-Dec,landsat,,,
1525235.708,334906.9838,1,51,u,16-Dec,landsat,very close to an edge,,
1515665.708,438856.9838,1,52,g,16-Dec,landsat,very close to an edge,,
1397495.708,565186.9838,1,53,g,9/16/2010,Maxar,possilbe snow conflation,,
1351055.708,592846.9838,1,54,g,9/16/2010,Maxar,,,
1189685.708,732556.9838,1,55,d,16-Dec,landsat,,,
1533245.708,376486.9838,1,56,u,16-Dec,landsat,possilbe snow conflation,,
1251815.708,585976.9838,1,57,g,9/11/2010,Maxar,,,
1205495.708,757336.9838,1,58,g,6/30/2014,Maxar,,,
1193405.708,846166.9838,1,59,g,16-Dec,landsat,,,
1510325.708,389416.9838,1,60,g,16-Dec,landsat,very close to terminus ,,
1271045.708,340846.9838,1,61,g,6/16/2015,Maxar,,,
1209995.708,85666.98378,1,62,u,16-Dec,landsat,very likely glacier,,
1143065.708,891196.9838,1,63,g,5/21/2014,Maxar,,,
1253285.708,697846.9838,1,64,g,6/8/2016,Maxar,some snow,,
1136945.708,268576.9838,1,65,g,6/29/2019,CNES,,,
948755.7078,1385206.984,1,66,s,19-Jun,landsat,likely snow conflation,,
1200875.708,564196.9838,1,67,d,6/26/2009,USGS,very close to an edge,,
1207595.708,706096.9838,1,68,g,16-Dec,landsat,,,
1249205.708,673756.9838,1,69,g,7/1/2006,Maxar,very close to an edge,,
1444235.708,146866.9838,1,70,g,5/31/2017,na,some snow,,
1201535.708,674866.9838,1,71,g,8/30/2009,Maxar,,,
1289945.708,405886.9838,1,72,g,9/3/2018,Maxar,,,
1264565.708,695206.9838,1,73,g,8/1/2010,Maxar,very close to an edge,,
1250885.708,657676.9838,1,74,g,7/15/2008,Maxar,very close to an edge,,
1220675.708,773056.9838,1,75,g,6/30/2014,Maxar,,,
1205195.708,68236.98378,1,76,d,16-Dec,landsat,could also be morrain,,
938195.7078,1422466.984,1,77,u,,,could also be snow ,,
1380485.708,608506.9838,1,78,u,,,,y,no good image
