,stat,precision,recall,f1-score,support,model_accuracy,model
0,0,1,0.559241706,0.717325228,211,0.784722222,sp_055_thresh_merge_50
1,1,0.703821656,1,0.826168224,221,0.784722222,sp_055_thresh_merge_50
2,accuracy,0.784722222,0.784722222,0.784722222,0.784722222,0.784722222,sp_055_thresh_merge_50
3,macro avg,0.851910828,0.779620853,0.771746726,432,0.784722222,sp_055_thresh_merge_50
4,weighted avg,0.848482838,0.784722222,0.773006483,432,0.784722222,sp_055_thresh_merge_50
0,0,1,0.616113744,0.762463343,211,0.8125,sp_055_thresh_merge_55
1,1,0.731788079,1,0.845124283,221,0.8125,sp_055_thresh_merge_55
2,accuracy,0.8125,0.8125,0.8125,0.8125,0.8125,sp_055_thresh_merge_55
3,macro avg,0.86589404,0.808056872,0.803793813,432,0.8125,sp_055_thresh_merge_55
4,weighted avg,0.862789735,0.8125,0.804750537,432,0.8125,sp_055_thresh_merge_55
0,0,0.986577181,0.696682464,0.816666667,211,0.847222222,sp_055_thresh_merge_60
1,1,0.77385159,0.990950226,0.869047619,221,0.847222222,sp_055_thresh_merge_60
2,accuracy,0.847222222,0.847222222,0.847222222,0.847222222,0.847222222,sp_055_thresh_merge_60
3,macro avg,0.880214386,0.843816345,0.842857143,432,0.847222222,sp_055_thresh_merge_60
4,weighted avg,0.877752284,0.847222222,0.843463404,432,0.847222222,sp_055_thresh_merge_60
0,0,0.975903614,0.767772512,0.859416446,211,0.877314815,sp_055_thresh_merge_65
1,1,0.815789474,0.981900452,0.891170431,221,0.877314815,sp_055_thresh_merge_65
2,accuracy,0.877314815,0.877314815,0.877314815,0.877314815,0.877314815,sp_055_thresh_merge_65
3,macro avg,0.895846544,0.874836482,0.875293438,432,0.877314815,sp_055_thresh_merge_65
4,weighted avg,0.893993371,0.877314815,0.875660961,432,0.877314815,sp_055_thresh_merge_65
0,0,0.971910112,0.819905213,0.889460154,211,0.900462963,sp_055_thresh_merge_70
1,1,0.850393701,0.977375566,0.909473684,221,0.900462963,sp_055_thresh_merge_70
2,accuracy,0.900462963,0.900462963,0.900462963,0.900462963,0.900462963,sp_055_thresh_merge_70
3,macro avg,0.911151907,0.898640389,0.899466919,432,0.900462963,sp_055_thresh_merge_70
4,weighted avg,0.909745467,0.900462963,0.899698557,432,0.900462963,sp_055_thresh_merge_70
0,0,0.94,0.890995261,0.914841849,211,0.918981481,sp_055_thresh_merge_75
1,1,0.900862069,0.945701357,0.922737307,221,0.918981481,sp_055_thresh_merge_75
2,accuracy,0.918981481,0.918981481,0.918981481,0.918981481,0.918981481,sp_055_thresh_merge_75
3,macro avg,0.920431034,0.918348309,0.918789578,432,0.918981481,sp_055_thresh_merge_75
4,weighted avg,0.919978049,0.918981481,0.918880961,432,0.918981481,sp_055_thresh_merge_75
0,0,0.882352941,0.924170616,0.902777778,211,0.902777778,sp_055_thresh_merge_80
1,1,0.924170616,0.882352941,0.902777778,221,0.902777778,sp_055_thresh_merge_80
2,accuracy,0.902777778,0.902777778,0.902777778,0.902777778,0.902777778,sp_055_thresh_merge_80
3,macro avg,0.903261779,0.903261779,0.902777778,432,0.902777778,sp_055_thresh_merge_80
4,weighted avg,0.90374578,0.902777778,0.902777778,432,0.902777778,sp_055_thresh_merge_80
0,0,0.819672131,0.947867299,0.879120879,211,0.872685185,sp_055_thresh_merge_85
1,1,0.941489362,0.800904977,0.865525672,221,0.872685185,sp_055_thresh_merge_85
2,accuracy,0.872685185,0.872685185,0.872685185,0.872685185,0.872685185,sp_055_thresh_merge_85
3,macro avg,0.880580746,0.874386138,0.872323276,432,0.872685185,sp_055_thresh_merge_85
4,weighted avg,0.881990668,0.872685185,0.872165924,432,0.872685185,sp_055_thresh_merge_85
0,0,0.710344828,0.976303318,0.822355289,211,0.793981481,sp_055_thresh_merge_90
1,1,0.964788732,0.619909502,0.754820937,221,0.793981481,sp_055_thresh_merge_90
2,accuracy,0.793981481,0.793981481,0.793981481,0.793981481,0.793981481,sp_055_thresh_merge_90
3,macro avg,0.83756678,0.79810641,0.788588113,432,0.793981481,sp_055_thresh_merge_90
4,weighted avg,0.840511733,0.793981481,0.787806465,432,0.793981481,sp_055_thresh_merge_90
0,0,0.593659942,0.976303318,0.738351254,211,0.662037037,sp_055_thresh_merge_95
1,1,0.941176471,0.36199095,0.522875817,221,0.662037037,sp_055_thresh_merge_95
2,accuracy,0.662037037,0.662037037,0.662037037,0.662037037,0.662037037,sp_055_thresh_merge_95
3,macro avg,0.767418206,0.669147134,0.630613536,432,0.662037037,sp_055_thresh_merge_95
4,weighted avg,0.771440389,0.662037037,0.628119607,432,0.662037037,sp_055_thresh_merge_95
0,0,0.942528736,0.777251185,0.851948052,211,0.868055556,sp_05_thresh_merge_50
1,1,0.817829457,0.954751131,0.881002088,221,0.868055556,sp_05_thresh_merge_50
2,accuracy,0.868055556,0.868055556,0.868055556,0.868055556,0.868055556,sp_05_thresh_merge_50
3,macro avg,0.880179096,0.866001158,0.86647507,432,0.868055556,sp_05_thresh_merge_50
4,weighted avg,0.878735818,0.868055556,0.866811343,432,0.868055556,sp_05_thresh_merge_50
0,0,0.897959184,0.834123223,0.864864865,211,0.872685185,sp_05_thresh_merge_55
1,1,0.851694915,0.909502262,0.879649891,221,0.872685185,sp_05_thresh_merge_55
2,accuracy,0.872685185,0.872685185,0.872685185,0.872685185,0.872685185,sp_05_thresh_merge_55
3,macro avg,0.874827049,0.871812743,0.872257378,432,0.872685185,sp_05_thresh_merge_55
4,weighted avg,0.874291583,0.872685185,0.872428501,432,0.872685185,sp_05_thresh_merge_55
0,0,0.862385321,0.890995261,0.876456876,211,0.877314815,sp_05_thresh_merge_60
1,1,0.892523364,0.864253394,0.87816092,221,0.877314815,sp_05_thresh_merge_60
2,accuracy,0.877314815,0.877314815,0.877314815,0.877314815,0.877314815,sp_05_thresh_merge_60
3,macro avg,0.877454343,0.877624327,0.877308898,432,0.877314815,sp_05_thresh_merge_60
4,weighted avg,0.877803163,0.877314815,0.877328621,432,0.877314815,sp_05_thresh_merge_60
0,0,0.81512605,0.91943128,0.864142539,211,0.858796296,sp_05_thresh_merge_65
