,stat,precision,recall,f1-score,support,model_accuracy,model
0,0.0,1.0,0.00980392156862745,0.01941747572815534,204.0,0.06912442396313365,sp_055_thresh_merge_50
1,1.0,0.06046511627906977,1.0,0.11403508771929825,13.0,0.06912442396313365,sp_055_thresh_merge_50
2,accuracy,0.06912442396313365,0.06912442396313365,0.06912442396313365,0.06912442396313365,0.06912442396313365,sp_055_thresh_merge_50
3,macro avg,0.5302325581395348,0.5049019607843137,0.0667262817237268,217.0,0.06912442396313365,sp_055_thresh_merge_50
4,weighted avg,0.9437145000535848,0.06912442396313365,0.02508581193038971,217.0,0.06912442396313365,sp_055_thresh_merge_50
0,0.0,1.0,0.0196078431372549,0.038461538461538464,204.0,0.07834101382488479,sp_055_thresh_merge_55
1,1.0,0.06103286384976526,1.0,0.11504424778761062,13.0,0.07834101382488479,sp_055_thresh_merge_55
2,accuracy,0.07834101382488479,0.07834101382488479,0.07834101382488479,0.07834101382488479,0.07834101382488479,sp_055_thresh_merge_55
3,macro avg,0.5305164319248826,0.5098039215686274,0.07675289312457453,217.0,0.07834101382488479,sp_055_thresh_merge_55
4,weighted avg,0.9437485125808615,0.07834101382488479,0.04304944270687919,217.0,0.07834101382488479,sp_055_thresh_merge_55
0,0.0,1.0,0.0392156862745098,0.07547169811320754,204.0,0.0967741935483871,sp_055_thresh_merge_60
1,1.0,0.06220095693779904,1.0,0.11711711711711711,13.0,0.0967741935483871,sp_055_thresh_merge_60
2,accuracy,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,sp_055_thresh_merge_60
3,macro avg,0.5311004784688995,0.5196078431372549,0.09629440761516234,217.0,0.0967741935483871,sp_055_thresh_merge_60
4,weighted avg,0.9438184905077944,0.0967741935483871,0.07796658496597632,217.0,0.0967741935483871,sp_055_thresh_merge_60
0,0.0,1.0,0.04411764705882353,0.08450704225352113,204.0,0.10138248847926268,sp_055_thresh_merge_65
1,1.0,0.0625,1.0,0.11764705882352941,13.0,0.10138248847926268,sp_055_thresh_merge_65
2,accuracy,0.10138248847926268,0.10138248847926268,0.10138248847926268,0.10138248847926268,0.10138248847926268,sp_055_thresh_merge_65
3,macro avg,0.53125,0.5220588235294118,0.10107705053852527,217.0,0.10138248847926268,sp_055_thresh_merge_65
4,weighted avg,0.943836405529954,0.10138248847926268,0.08649238886831423,217.0,0.10138248847926268,sp_055_thresh_merge_65
0,0.0,1.0,0.058823529411764705,0.1111111111111111,204.0,0.1152073732718894,sp_055_thresh_merge_70
1,1.0,0.06341463414634146,1.0,0.11926605504587155,13.0,0.1152073732718894,sp_055_thresh_merge_70
2,accuracy,0.1152073732718894,0.1152073732718894,0.1152073732718894,0.1152073732718894,0.1152073732718894,sp_055_thresh_merge_70
3,macro avg,0.5317073170731708,0.5294117647058824,0.11518858307849134,217.0,0.1152073732718894,sp_055_thresh_merge_70
4,weighted avg,0.9438911992806563,0.1152073732718894,0.11159965613946081,217.0,0.1152073732718894,sp_055_thresh_merge_70
0,0.0,0.9545454545454546,0.10294117647058823,0.18584070796460175,204.0,0.15207373271889402,sp_055_thresh_merge_75
1,1.0,0.06153846153846154,0.9230769230769231,0.11538461538461539,13.0,0.15207373271889402,sp_055_thresh_merge_75
2,accuracy,0.15207373271889402,0.15207373271889402,0.15207373271889402,0.15207373271889402,0.15207373271889402,sp_055_thresh_merge_75
3,macro avg,0.5080419580419581,0.5130090497737557,0.15061266167460857,217.0,0.15207373271889402,sp_055_thresh_merge_75
4,weighted avg,0.9010473397570173,0.15207373271889402,0.18161983605888826,217.0,0.15207373271889402,sp_055_thresh_merge_75
0,0.0,0.95,0.18627450980392157,0.3114754098360656,204.0,0.22580645161290322,sp_055_thresh_merge_80
1,1.0,0.062146892655367235,0.8461538461538461,0.11578947368421054,13.0,0.22580645161290322,sp_055_thresh_merge_80
2,accuracy,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,sp_055_thresh_merge_80
3,macro avg,0.5060734463276836,0.5162141779788838,0.21363244176013807,217.0,0.22580645161290322,sp_055_thresh_merge_80
4,weighted avg,0.8968106433388008,0.22580645161290322,0.29975228923710656,217.0,0.22580645161290322,sp_055_thresh_merge_80
0,0.0,0.9411764705882353,0.3137254901960784,0.47058823529411764,204.0,0.33640552995391704,sp_055_thresh_merge_85
1,1.0,0.06040268456375839,0.6923076923076923,0.11111111111111112,13.0,0.33640552995391704,sp_055_thresh_merge_85
