,stat,precision,recall,f1-score,support,model_accuracy,model
0,0.0,1.0,0.5784313725490197,0.732919254658385,204.0,0.6036866359447005,sp_055_thresh_merge_50
1,1.0,0.13131313131313133,1.0,0.23214285714285718,13.0,0.6036866359447005,sp_055_thresh_merge_50
2,accuracy,0.6036866359447005,0.6036866359447005,0.6036866359447005,0.6036866359447005,0.6036866359447005,sp_055_thresh_merge_50
3,macro avg,0.5656565656565656,0.7892156862745099,0.4825310559006211,217.0,0.6036866359447005,sp_055_thresh_merge_50
4,weighted avg,0.9479588511846576,0.6036866359447005,0.7029188253141367,217.0,0.6036866359447005,sp_055_thresh_merge_50
0,0.0,1.0,0.6323529411764706,0.7747747747747747,204.0,0.6543778801843319,sp_055_thresh_merge_55
1,1.0,0.14772727272727273,1.0,0.25742574257425743,13.0,0.6543778801843319,sp_055_thresh_merge_55
2,accuracy,0.6543778801843319,0.6543778801843319,0.6543778801843319,0.6543778801843319,0.6543778801843319,sp_055_thresh_merge_55
3,macro avg,0.5738636363636364,0.8161764705882353,0.516100258674516,217.0,0.6543778801843319,sp_055_thresh_merge_55
4,weighted avg,0.9489421868454125,0.6543778801843319,0.7437815147811953,217.0,0.6543778801843319,sp_055_thresh_merge_55
0,0.0,1.0,0.7156862745098039,0.8342857142857142,204.0,0.7327188940092166,sp_055_thresh_merge_60
1,1.0,0.18309859154929578,1.0,0.30952380952380953,13.0,0.7327188940092166,sp_055_thresh_merge_60
2,accuracy,0.7327188940092166,0.7327188940092166,0.7327188940092166,0.7327188940092166,0.7327188940092166,sp_055_thresh_merge_60
3,macro avg,0.5915492957746479,0.857843137254902,0.5719047619047619,217.0,0.7327188940092166,sp_055_thresh_merge_60
4,weighted avg,0.9510612059453495,0.7327188940092166,0.8028483651525125,217.0,0.7327188940092166,sp_055_thresh_merge_60
0,0.0,1.0,0.7843137254901961,0.8791208791208792,204.0,0.7972350230414746,sp_055_thresh_merge_65
1,1.0,0.22807017543859648,1.0,0.3714285714285714,13.0,0.7972350230414746,sp_055_thresh_merge_65
2,accuracy,0.7972350230414746,0.7972350230414746,0.7972350230414746,0.7972350230414746,0.7972350230414746,sp_055_thresh_merge_65
3,macro avg,0.6140350877192983,0.892156862745098,0.6252747252747253,217.0,0.7972350230414746,sp_055_thresh_merge_65
4,weighted avg,0.9537553561322661,0.7972350230414746,0.8487061325771004,217.0,0.7972350230414746,sp_055_thresh_merge_65
0,0.0,1.0,0.8382352941176471,0.9119999999999999,204.0,0.847926267281106,sp_055_thresh_merge_70
1,1.0,0.2826086956521739,1.0,0.4406779661016949,13.0,0.847926267281106,sp_055_thresh_merge_70
