,stat,precision,recall,f1-score,support,model_accuracy,model
0,0.0,0.0,0.0,0.0,7.0,0.9674418604651163,sp_055_thresh_merge_50
1,1.0,0.9674418604651163,1.0,0.983451536643026,208.0,0.9674418604651163,sp_055_thresh_merge_50
2,accuracy,0.9674418604651163,0.9674418604651163,0.9674418604651163,0.9674418604651163,0.9674418604651163,sp_055_thresh_merge_50
3,macro avg,0.48372093023255813,0.5,0.491725768321513,215.0,0.9674418604651163,sp_055_thresh_merge_50
4,weighted avg,0.9359437533802055,0.9674418604651163,0.9514321842872064,215.0,0.9674418604651163,sp_055_thresh_merge_50
0,0.0,1.0,0.14285714285714285,0.25,7.0,0.9720930232558139,sp_055_thresh_merge_55
1,1.0,0.9719626168224299,1.0,0.985781990521327,208.0,0.9720930232558139,sp_055_thresh_merge_55
2,accuracy,0.9720930232558139,0.9720930232558139,0.9720930232558139,0.9720930232558139,0.9720930232558139,sp_055_thresh_merge_55
3,macro avg,0.985981308411215,0.5714285714285714,0.6178909952606635,215.0,0.9720930232558139,sp_055_thresh_merge_55
4,weighted avg,0.9728754618561183,0.9720930232558139,0.961826297806679,215.0,0.9720930232558139,sp_055_thresh_merge_55
0,0.0,0.3333333333333333,0.14285714285714285,0.2,7.0,0.9627906976744186,sp_055_thresh_merge_60
1,1.0,0.9716981132075472,0.9903846153846154,0.9809523809523809,208.0,0.9627906976744186,sp_055_thresh_merge_60
2,accuracy,0.9627906976744186,0.9627906976744186,0.9627906976744186,0.9627906976744186,0.9627906976744186,sp_055_thresh_merge_60
3,macro avg,0.6525157232704403,0.5666208791208791,0.5904761904761905,215.0,0.9627906976744186,sp_055_thresh_merge_60
4,weighted avg,0.9509141436302473,0.9627906976744186,0.9555260243632336,215.0,0.9627906976744186,sp_055_thresh_merge_60
0,0.0,0.3333333333333333,0.2857142857142857,0.30769230769230765,7.0,0.958139534883721,sp_055_thresh_merge_65
1,1.0,0.9760765550239234,0.9807692307692307,0.9784172661870504,208.0,0.958139534883721,sp_055_thresh_merge_65
2,accuracy,0.958139534883721,0.958139534883721,0.958139534883721,0.958139534883721,0.958139534883721,sp_055_thresh_merge_65
3,macro avg,0.6547049441786283,0.6332417582417582,0.643054786939679,215.0,0.958139534883721,sp_055_thresh_merge_65
4,weighted avg,0.9551500315270206,0.958139534883721,0.9565797093988495,215.0,0.958139534883721,sp_055_thresh_merge_65
0,0.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,7.0,0.9534883720930233,sp_055_thresh_merge_70
1,1.0,0.9759615384615384,0.9759615384615384,0.9759615384615384,208.0,0.9534883720930233,sp_055_thresh_merge_70
2,accuracy,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,0.9534883720930233,sp_055_thresh_merge_70
3,macro avg,0.6308379120879121,0.6308379120879121,0.6308379120879121,215.0,0.9534883720930233,sp_055_thresh_merge_70
4,weighted avg,0.9534883720930233,0.9534883720930233,0.9534883720930233,215.0,0.9534883720930233,sp_055_thresh_merge_70
0,0.0,0.14285714285714285,0.2857142857142857,0.19047619047619047,7.0,0.9209302325581395,sp_055_thresh_merge_75
1,1.0,0.9751243781094527,0.9423076923076923,0.9584352078239609,208.0,0.9209302325581395,sp_055_thresh_merge_75
2,accuracy,0.9209302325581395,0.9209302325581395,0.9209302325581395,0.9209302325581395,0.9209302325581395,sp_055_thresh_merge_75
3,macro avg,0.5589907604832978,0.614010989010989,0.5744556991500757,215.0,0.9209302325581395,sp_055_thresh_merge_75
4,weighted avg,0.9480273053337961,0.9209302325581395,0.93343189098008,215.0,0.9209302325581395,sp_055_thresh_merge_75
0,0.0,0.10714285714285714,0.42857142857142855,0.17142857142857143,7.0,0.8651162790697674,sp_055_thresh_merge_80
1,1.0,0.9786096256684492,0.8798076923076923,0.9265822784810126,208.0,0.8651162790697674,sp_055_thresh_merge_80
2,accuracy,0.8651162790697674,0.8651162790697674,0.8651162790697674,0.8651162790697674,0.8651162790697674,sp_055_thresh_merge_80
3,macro avg,0.5428762414056532,0.6541895604395604,0.549005424954792,215.0,0.8651162790697674,sp_055_thresh_merge_80
4,weighted avg,0.9502362890187788,0.8651162790697674,0.9019958787165144,215.0,0.8651162790697674,sp_055_thresh_merge_80
0,0.0,0.10869565217391304,0.7142857142857143,0.18867924528301885,7.0,0.8,sp_055_thresh_merge_85
1,1.0,0.9881656804733728,0.8028846153846154,0.8859416445623344,208.0,0.8,sp_055_thresh_merge_85
2,accuracy,0.8,0.8,0.8,0.8,0.8,sp_055_thresh_merge_85
3,macro avg,0.5484306663236429,0.7585851648351649,0.5373104449226767,215.0,0.8,sp_055_thresh_merge_85
4,weighted avg,0.9595317725752509,0.8,0.8632400780741706,215.0,0.8,sp_055_thresh_merge_85
0,0.0,0.07407407407407407,0.8571428571428571,0.13636363636363635,7.0,0.6465116279069767,sp_055_thresh_merge_90
1,1.0,0.9925373134328358,0.6394230769230769,0.7777777777777777,208.0,0.6465116279069767,sp_055_thresh_merge_90
2,accuracy,0.6465116279069767,0.6465116279069767,0.6465116279069767,0.6465116279069767,0.6465116279069767,sp_055_thresh_merge_90
3,macro avg,0.5333056937534549,0.7482829670329669,0.457070707070707,215.0,0.6465116279069767,sp_055_thresh_merge_90
4,weighted avg,0.9626338591281319,0.6465116279069767,0.7568945266619685,215.0,0.6465116279069767,sp_055_thresh_merge_90
0,0.0,0.04411764705882353,0.8571428571428571,0.08391608391608392,7.0,0.39069767441860465,sp_055_thresh_merge_95
1,1.0,0.9873417721518988,0.375,0.5435540069686412,208.0,0.39069767441860465,sp_055_thresh_merge_95
2,accuracy,0.39069767441860465,0.39069767441860465,0.39069767441860465,0.39069767441860465,0.39069767441860465,sp_055_thresh_merge_95
3,macro avg,0.5157297096053611,0.6160714285714286,0.3137350454423626,215.0,0.39069767441860465,sp_055_thresh_merge_95
4,weighted avg,0.9566321494744499,0.39069767441860465,0.528589051334372,215.0,0.39069767441860465,sp_055_thresh_merge_95
0,0.0,0.1,0.14285714285714285,0.11764705882352941,7.0,0.9302325581395349,sp_05_thresh_merge_50
1,1.0,0.9707317073170731,0.9567307692307693,0.963680387409201,208.0,0.9302325581395349,sp_05_thresh_merge_50
2,accuracy,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,0.9302325581395349,sp_05_thresh_merge_50
3,macro avg,0.5353658536585366,0.5497939560439561,0.5406637231163652,215.0,0.9302325581395349,sp_05_thresh_merge_50
4,weighted avg,0.9423823028927963,0.9302325581395349,0.9361351162459466,215.0,0.9302325581395349,sp_05_thresh_merge_50
0,0.0,0.13636363636363635,0.42857142857142855,0.20689655172413793,7.0,0.8930232558139535,sp_05_thresh_merge_55
1,1.0,0.9792746113989638,0.9086538461538461,0.942643391521197,208.0,0.8930232558139535,sp_05_thresh_merge_55
2,accuracy,0.8930232558139535,0.8930232558139535,0.8930232558139535,0.8930232558139535,0.8930232558139535,sp_05_thresh_merge_55
3,macro avg,0.5578191238813001,0.6686126373626373,0.5747699716226675,215.0,0.8930232558139535,sp_05_thresh_merge_55
4,weighted avg,0.9518309982582788,0.8930232558139535,0.9186888432487347,215.0,0.8930232558139535,sp_05_thresh_merge_55
0,0.0,0.0967741935483871,0.42857142857142855,0.15789473684210525,7.0,0.8511627906976744,sp_05_thresh_merge_60
1,1.0,0.9782608695652174,0.8653846153846154,0.9183673469387755,208.0,0.8511627906976744,sp_05_thresh_merge_60
2,accuracy,0.8511627906976744,0.8511627906976744,0.8511627906976744,0.8511627906976744,0.8511627906976744,sp_05_thresh_merge_60
3,macro avg,0.5375175315568023,0.646978021978022,0.5381310418904404,215.0,0.8511627906976744,sp_05_thresh_merge_60
4,weighted avg,0.9495613033693207,0.8511627906976744,0.8936077735867909,215.0,0.8511627906976744,sp_05_thresh_merge_60
0,0.0,0.06976744186046512,0.42857142857142855,0.12,7.0,0.7953488372093023,sp_05_thresh_merge_65
1,1.0,0.9767441860465116,0.8076923076923077,0.8842105263157894,208.0,0.7953488372093023,sp_05_thresh_merge_65
2,accuracy,0.7953488372093023,0.7953488372093023,0.7953488372093023,0.7953488372093023,0.7953488372093023,sp_05_thresh_merge_65
3,macro avg,0.5232558139534883,0.6181318681318682,0.5021052631578947,215.0,0.7953488372093023,sp_05_thresh_merge_65
4,weighted avg,0.9472147106544078,0.7953488372093023,0.8593292533659731,215.0,0.7953488372093023,sp_05_thresh_merge_65
0,0.0,0.06896551724137931,0.5714285714285714,0.12307692307692308,7.0,0.7348837209302326,sp_05_thresh_merge_70
1,1.0,0.9808917197452229,0.7403846153846154,0.8438356164383561,208.0,0.7348837209302326,sp_05_thresh_merge_70
2,accuracy,0.7348837209302326,0.7348837209302326,0.7348837209302326,0.7348837209302326,0.7348837209302326,sp_05_thresh_merge_70
3,macro avg,0.5249286184933011,0.6559065934065934,0.4834562697576396,215.0,0.7348837209302326,sp_05_thresh_merge_70
4,weighted avg,0.9512010991985861,0.7348837209302326,0.8203690543289142,215.0,0.7348837209302326,sp_05_thresh_merge_70
0,0.0,0.06818181818181818,0.8571428571428571,0.1263157894736842,7.0,0.6139534883720931,sp_05_thresh_merge_75
1,1.0,0.9921259842519685,0.6057692307692307,0.7522388059701491,208.0,0.6139534883720931,sp_05_thresh_merge_75
2,accuracy,0.6139534883720931,0.6139534883720931,0.6139534883720931,0.6139534883720931,0.6139534883720931,sp_05_thresh_merge_75
3,macro avg,0.5301539012168933,0.7314560439560439,0.43927729772191665,215.0,0.6139534883720931,sp_05_thresh_merge_75
4,weighted avg,0.9620440811706148,0.6139534883720931,0.731859917060962,215.0,0.6139534883720931,sp_05_thresh_merge_75
0,0.0,0.0625,1.0,0.11764705882352941,7.0,0.5116279069767442,sp_05_thresh_merge_80
1,1.0,1.0,0.4951923076923077,0.662379421221865,208.0,0.5116279069767442,sp_05_thresh_merge_80
2,accuracy,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,sp_05_thresh_merge_80
