,stat,precision,recall,f1-score,support,model_accuracy,model
0,0,0,0,0,7,0.96744186,sp_055_thresh_merge_50
1,1,0.96744186,1,0.983451537,208,0.96744186,sp_055_thresh_merge_50
2,accuracy,0.96744186,0.96744186,0.96744186,0.96744186,0.96744186,sp_055_thresh_merge_50
3,macro avg,0.48372093,0.5,0.491725768,215,0.96744186,sp_055_thresh_merge_50
4,weighted avg,0.935943753,0.96744186,0.951432184,215,0.96744186,sp_055_thresh_merge_50
0,0,1,0.142857143,0.25,7,0.972093023,sp_055_thresh_merge_55
1,1,0.971962617,1,0.985781991,208,0.972093023,sp_055_thresh_merge_55
2,accuracy,0.972093023,0.972093023,0.972093023,0.972093023,0.972093023,sp_055_thresh_merge_55
3,macro avg,0.985981308,0.571428571,0.617890995,215,0.972093023,sp_055_thresh_merge_55
4,weighted avg,0.972875462,0.972093023,0.961826298,215,0.972093023,sp_055_thresh_merge_55
0,0,0.333333333,0.142857143,0.2,7,0.962790698,sp_055_thresh_merge_60
1,1,0.971698113,0.990384615,0.980952381,208,0.962790698,sp_055_thresh_merge_60
2,accuracy,0.962790698,0.962790698,0.962790698,0.962790698,0.962790698,sp_055_thresh_merge_60
3,macro avg,0.652515723,0.566620879,0.59047619,215,0.962790698,sp_055_thresh_merge_60
4,weighted avg,0.950914144,0.962790698,0.955526024,215,0.962790698,sp_055_thresh_merge_60
0,0,0.333333333,0.285714286,0.307692308,7,0.958139535,sp_055_thresh_merge_65
1,1,0.976076555,0.980769231,0.978417266,208,0.958139535,sp_055_thresh_merge_65
2,accuracy,0.958139535,0.958139535,0.958139535,0.958139535,0.958139535,sp_055_thresh_merge_65
3,macro avg,0.654704944,0.633241758,0.643054787,215,0.958139535,sp_055_thresh_merge_65
4,weighted avg,0.955150032,0.958139535,0.956579709,215,0.958139535,sp_055_thresh_merge_65
0,0,0.285714286,0.285714286,0.285714286,7,0.953488372,sp_055_thresh_merge_70
1,1,0.975961538,0.975961538,0.975961538,208,0.953488372,sp_055_thresh_merge_70
2,accuracy,0.953488372,0.953488372,0.953488372,0.953488372,0.953488372,sp_055_thresh_merge_70
3,macro avg,0.630837912,0.630837912,0.630837912,215,0.953488372,sp_055_thresh_merge_70
4,weighted avg,0.953488372,0.953488372,0.953488372,215,0.953488372,sp_055_thresh_merge_70
