,lat,lon,value,id,class,image_date,image_source,notes,discard,reason
0,1915487.139,-150166.8404,1,1,n,Dec-16,landsat,,,
1,2217437.139,407323.1596,1,2,n,8/11/2014,maxar,,,
2,2202197.139,360253.1596,1,3,n,8/22/2012,maxar,,,
3,2174357.139,-207196.8404,1,4,n,Dec-16,landsat,,,
4,2099417.139,-7516.8404,1,5,n,12/1/2016,landsat,,,
5,2131847.139,-8416.8404,1,6,n,6/8/2013,maxar,,,
6,1951277.139,296143.1596,1,7,n,6/19/2012,maxar,,,
7,1875857.139,-246706.8404,1,8,n,12/1/2016,landsat,,,
8,2171207.139,122563.1596,1,9,n,9/9/2010,maxar,,,
9,2070617.139,-257476.8404,1,10,n,8/16/2008,maxar,,,
10,1990397.139,181813.1596,1,11,n,4/19/2014,maxar,,,
11,1987127.139,119473.1596,1,12,n,4/19/2014,maxar,,,
12,2318507.139,185353.1596,1,13,w,12/1/2016,landsat,,y,outside bounds
13,2058527.139,-63766.8404,1,14,n,12/1/2016,landsat,,,
14,2194907.139,-146026.8404,1,15,n,7/18/2009,maxar,,,
15,2200817.139,286813.1596,1,16,n,12/1/2016,landsat,,,
16,2081687.139,-182206.8404,1,17,n,6/1/2013,maxar,,,
17,2321747.139,-168856.8404,1,18,w,,,,y,outside bounds
18,1930787.139,254953.1596,1,19,n,12/1/2016,landsat,,,
19,2224007.139,-211036.8404,1,20,n,12/1/2016,landsat,,,
20,1965767.139,-260686.8404,1,21,n,12/1/2016,landsat,,,
21,2114207.139,-97726.8404,1,22,n,7/8/2010,maxar,,,
22,1778687.139,330763.1596,1,23,n,12/1/2016,landsat,,,
23,1795067.139,485473.1596,1,24,n,5/21/2011,maxar,,,
24,1856417.139,254983.1596,1,25,n,12/1/2016,landsat,,,
25,1972097.139,36553.1596,1,26,n,6/17/2013,maxar,,,
26,2312627.139,76513.1596,1,27,w,12/1/2016,landsat,,,
27,2255057.139,102073.1596,1,28,n,7/23/2016,maxar,,,
28,1788827.139,352243.1596,1,29,n,12/1/2016,landsat,,,
29,1888157.139,-176806.8404,1,30,n,5/24/2012,maxar,,,
30,1898897.139,-165646.8404,1,31,n,6/17/2019,CNES,,,
31,1986737.139,-42136.8404,1,32,n,12/1/2016,landsat,,,
32,2263127.139,274903.1596,1,33,w,12/1/2016,landsat,,,
33,2193827.139,-23266.8404,1,34,n,6/11/2013,maxar,,,
34,2286587.139,-180646.8404,1,35,n,12/1/2016,landsat,,,
35,2179937.139,116443.1596,1,36,n,9/9/2010,maxar,,,
36,2244167.139,-124846.8404,1,37,n,7/21/2012,maxar,,,
37,2100767.139,-219826.8404,1,38,n,12/1/2016,landsat,,,
38,2071217.139,230713.1596,1,39,n,8/25/2013,maxar,,,
39,2214737.139,520213.1596,1,40,n,12/1/2016,landsat,,,
40,2115017.139,469333.1596,1,41,n,6/18/2013,maxar,,,
41,2230397.139,343243.1596,1,42,n,12/1/2016,landsat,,,
42,1880327.139,263683.1596,1,43,n,9/23/2012,maxar,,,
43,2300207.139,371263.1596,1,44,n,,,,y,too far from border
44,2149907.139,286873.1596,1,45,n,12/1/2016,landsat,,,
45,2027657.139,-229906.8404,1,46,n,12/1/2016,landsat,,,
46,2137397.139,393163.1596,1,47,n,5/13/2011,maxar,,,
47,2276777.139,415153.1596,1,48,w,12/1/2016,landsat,,,
48,1950587.139,500053.1596,1,49,n,8/27/2010,maxar,,,
49,1958867.139,387163.1596,1,50,n,8/13/2009,maxar,,,
50,2097647.139,237253.1596,1,51,n,8/25/2013,maxar,,,
51,2005967.139,319123.1596,1,52,n,8/7/2010,maxar,,,
52,2241947.139,308143.1596,1,53,n,8/28/2004,maxar,,,
53,2064647.139,-92746.8404,1,54,n,12/1/2016,landsat,,,
54,2288717.139,-121606.8404,1,55,n,7/21/2012,maxar,,,
55,2203307.139,179323.1596,1,56,n,6/12/2013,maxar,,,
56,1925747.139,295483.1596,1,57,n,12/1/2016,landsat,,,
57,2170277.139,-174736.8404,1,58,n,6/10/2013,maxar,,,
58,2258177.139,-131236.8404,1,59,n,7/21/2012,maxar,,,
59,2179067.139,434023.1596,1,60,n,7/10/2012,maxar,,,
60,2321837.139,311893.1596,1,61,w,,,,y,too far from border
61,2075417.139,-117466.8404,1,62,n,6/11/2010,maxar,,,
62,2289077.139,369733.1596,1,63,w,,,,y,too far from border
63,1906697.139,211063.1596,1,64,n,12/1/2016,landsat,,,
64,1949357.139,228583.1596,1,65,n,12/1/2016,landsat,,,
65,2018657.139,371923.1596,1,66,n,12/1/2016,landsat,,,
66,1857767.139,-74326.8404,1,67,n,12/1/2016,landsat,,,
