,lat,lon,value,id,class,image_date,image_source,notes,discard,reason
0,2142557.139,386863.1596,1,1,n,8/22/2012,maxar,river bed,,
1,2253827.139,402193.1596,1,2,w,8/11/2014,maxar,freshwater,,
2,2099237.139,306493.1596,1,3,u,,landsat,could be glacier,,
3,2140337.139,310273.1596,1,4,n,3/9/2007,maxar,likely a seasonal snow problem,,
4,2147327.139,350383.1596,1,5,n,8/4/2012,maxar,likely a seasonal snow problem,,
5,2119337.139,345223.1596,1,6,n,8/1/2016,landsat,likely a seasonal snow problem,,
6,2133647.139,375193.1596,1,7,u,,maxar,could be glacier,,
7,2127167.139,351613.1596,1,8,n,12/1/2016,landsat,,,
8,2161187.139,312013.1596,1,9,n,12/1/2016,landsat,,,
9,2164517.139,331753.1596,1,10,n,12/1/2016,landsat,,,
10,2042147.139,183763.1596,1,11,s,7/1/2007,maxar,seasonal snow,,
11,2095757.139,321103.1596,1,12,n,8/8/2010,maxar,,,
12,1950707.139,-186226.8404,1,13,n,6/21/2015,maxar,,,
13,2131247.139,364123.1596,1,14,u,12/1/2016,landsat,unlikely glacier,,
14,2175707.139,389233.1596,1,15,u,8/22/2012,maxar,very close to glacier,y,too close to edge
15,2245247.139,475993.1596,1,16,n,8/22/2012,maxar,,,
16,2079257.139,271453.1596,1,17,g,8/22/2012,maxar,near edg,m,near edge
17,2091107.139,326353.1596,1,18,u,,maxar,shaded,,
18,2025107.139,138403.1596,1,19,n,7/1/2007,maxar,,,
19,2103107.139,313633.1596,1,20,u,,landsat,could be glacier,,
20,2167307.139,354613.1596,1,21,n,8/4/2012,maxar,,,
21,2166467.139,354733.1596,1,22,n,8/4/2012,maxar,,,
22,2195237.139,339013.1596,1,23,n,8/4/2012,maxar,,,
23,2120237.139,302983.1596,1,24,n,8/8/2010,maxar,,,
24,2154197.139,357973.1596,1,25,n,8/4/2012,maxar,,,
25,2123237.139,325393.1596,1,26,n,8/8/2010,maxar,,,
26,2100647.139,333853.1596,1,27,n,12/1/2016,landsat,,,
27,2208677.139,431173.1596,1,28,n,7/10/2012,maxar,river bed,,
28,1937447.139,-156826.8404,1,29,n,8/23/2014,maxar,river bed,,
29,2033987.139,2833.1596,1,30,s,8/23/2014,maxar,seasonal snow,,
30,2155457.139,357463.1596,1,31,n,8/22/2012,maxar,,,
31,2250827.139,-24586.8404,1,32,n,9/18/2012,maxar,,,
32,2092847.139,327973.1596,1,33,n,8/8/2010,maxar,,,
33,2006807.139,379933.1596,1,34,n,12/1/2016,landsat,,,
34,2094557.139,380833.1596,1,35,n,12/1/2016,landsat,seasonal snow,,
35,2145347.139,317593.1596,1,36,n,8/20/2009,maxar,,,
36,2065277.139,191593.1596,1,37,s,5/24/2002,maxar,seasonal snow,,
37,2121617.139,348073.1596,1,38,n,6/7/2011,maxar,,,
38,2098787.139,337093.1596,1,39,n,12/1/2016,landsat,,,
39,2244377.139,478453.1596,1,40,n,8/7/2004,maxar,,,
40,2162927.139,400303.1596,1,41,u,7/10/2012,maxar,glacier edg,y,too close to edge
41,2080487.139,271243.1596,1,42,g,6/25/2010,maxar,,,
42,2125997.139,350173.1596,1,43,n,12/1/2016,landsat,,,
43,2134127.139,272113.1596,1,44,n,9/19/2012,maxar,shaded snow,,
44,2311997.139,24793.1596,1,45,w,7/13/2009,maxar,freshwater,,
45,2313077.139,31843.1596,1,46,w,7/13/2009,maxar,,,
46,2133197.139,308383.1596,1,47,u,,maxar,too shaded,,
47,2296037.139,32623.1596,1,48,n,9/24/2012,maxar,,,
48,2102537.139,335443.1596,1,49,u,12/1/2016,landsat,low res,,
49,2234267.139,461053.1596,1,50,n,12/1/2016,landsat,river bed,,
50,2120717.139,348943.1596,1,51,s,6/7/2011,maxar,snow,,
51,2057267.139,241483.1596,1,52,n,8/25/2013,maxar,near glacier,,
52,2164097.139,356263.1596,1,53,n,8/4/2012,maxar,,,
53,2166677.139,339193.1596,1,54,u,,landsat,low res,,
54,2244407.139,479023.1596,1,55,n,8/7/2004,maxar,,,
55,2142977.139,367033.1596,1,56,n,8/22/2012,maxar,,,
56,2204627.139,344683.1596,1,57,n,8/4/2012,maxar,,,
57,2192207.139,337303.1596,1,58,u,12/1/2016,landsat,low res,,
58,2166047.139,341083.1596,1,59,u,12/1/2016,landsat,low res,,
59,2150807.139,236083.1596,1,60,n,7/6/2014,maxar,river bed,,
60,2119547.139,345433.1596,1,61,n,12/1/2016,maxar,,,
61,2125157.139,394723.1596,1,62,g,7/10/2012,maxar,,,
62,2119187.139,301423.1596,1,63,n,12/1/2016,landsat,,,
63,2154707.139,288163.1596,1,64,n,12/1/2016,landsat,,,
64,2145437.139,344533.1596,1,65,n,8/4/2012,maxar,,,
65,2226077.139,-21886.8404,1,66,n,6/13/2012,maxar,,,
66,2125127.139,346003.1596,1,67,u,,landsat,low res,,
67,2123537.139,396793.1596,1,68,u,,maxar,insufficient images,,
68,2270867.139,399523.1596,1,69,n,7/30/2015,maxar,,,
69,2151317.139,415063.1596,1,70,u,,maxar,insufficient images,,
70,2126207.139,324793.1596,1,71,n,8/8/2010,maxar,,,
71,2252027.139,-105616.8404,1,72,n,6/17/2011,maxar,,,
72,2164727.139,355243.1596,1,73,n,8/4/2012,maxar,,,
73,2152607.139,366043.1596,1,74,u,,maxar,too shaded,,
74,2177927.139,345613.1596,1,75,n,8/4/2012,maxar,,,
75,2118077.139,306103.1596,1,76,u,,landsat,low res,,
76,2096387.139,298573.1596,1,77,u,,landsat,too shaded,,
77,2163017.139,354733.1596,1,78,n,8/4/2012,maxar,,,
78,2155487.139,421333.1596,1,79,u,,landsat,low res,,
79,2217197.139,-22396.8404,1,80,s,6/13/2012,maxar,seasonal snow,,
80,2172617.139,403273.1596,1,81,g,7/10/2012,maxar,,,
81,2153027.139,368383.1596,1,82,n,8/22/2012,maxar,,,
82,2227547.139,384943.1596,1,83,n,7/10/2012,maxar,,,
83,2173007.139,340393.1596,1,84,n,12/1/2016,landsat,,,
84,2267327.139,393703.1596,1,85,w,12/1/2016,landsat,,,
85,2120927.139,309313.1596,1,86,n,8/8/2010,maxar,,,
86,2129657.139,364543.1596,1,87,u,,,insufficient images,,
87,2210417.139,-70366.8404,1,88,w,12/1/2016,landsat,freshwater,,
88,2127107.139,302233.1596,1,89,n,12/1/2016,landsat,,,
89,2153177.139,362713.1596,1,90,n,8/22/2012,landsat,,,
90,2099657.139,341383.1596,1,91,n,12/1/2016,landsat,,,
91,2029247.139,72853.1596,1,92,n,7/8/2010,maxar,,,
92,2160107.139,344323.1596,1,93,n,8/4/2012,maxar,,,
93,2186657.139,397513.1596,1,94,n,7/10/2012,maxar,,,
94,2146607.139,388333.1596,1,95,n,8/22/2012,maxar,,,
95,2106137.139,335203.1596,1,96,n,12/1/2016,landsat,,,
96,2105927.139,403573.1596,1,97,n,12/1/2016,landsat,,,
97,2219597.139,436603.1596,1,98,n,7/10/2012,maxar,,,
98,2180417.139,388213.1596,1,99,u,,maxar,glacier edg,y,too close to edge
99,2024867.139,174103.1596,1,100,u,,maxar,glacier edg,y,too close to edge
100,2115677.139,335083.1596,1,101,n,12/1/2016,landsat,,,
101,2159327.139,343453.1596,1,102,n,8/4/2012,maxar,,,
102,2019677.139,146203.1596,1,103,u,7/10/2012,maxar,glacier  ,y,too small of a feature
103,2141597.139,344923.1596,1,104,u,,maxar,clouds,,
104,2186627.139,397873.1596,1,105,n,7/10/2012,maxar,,,
105,2110607.139,114193.1596,1,106,n,8/21/2011,maxar,,,
106,2168147.139,336823.1596,1,107,u,,landsat,insufficient images,,
107,2168117.139,363103.1596,1,108,n,8/22/2012,maxar,,,
108,2171147.139,394513.1596,1,109,u,,maxar,insufficient images,,
109,2052557.139,238063.1596,1,110,g,8/2/2013,maxar,,,
110,2150027.139,309703.1596,1,111,u,,landsat,low res,,
111,1944677.139,-21466.8404,1,112,u,,landsat,low res,,
112,2105717.139,327073.1596,1,113,u,,landsat,low res,,
113,2238227.139,474463.1596,1,114,n,8/21/2004,maxar,,,
114,2188757.139,291163.1596,1,115,n,12/1/2016,landsat,,,
115,2145497.139,349663.1596,1,116,u,,maxar,clouds,,
116,2100407.139,335353.1596,1,117,u,,landsat,low res,,
117,2116037.139,88783.1596,1,118,w,12/1/2016,landsat,,,
118,2052557.139,238183.1596,1,119,u,,,,y,too close to another pt
119,2151377.139,364483.1596,1,120,u,8/22/2012,maxar,glacier,y,too close to edge
120,2204357.139,135523.1596,1,121,n,6/7/2010,maxar,,,
121,2238287.139,177643.1596,1,122,n,9/7/2014,maxar,,,
122,2134517.139,273313.1596,1,123,u,9/19/2012,maxar,could be glacier,,
123,2162477.139,348133.1596,1,124,n,8/4/2012,maxar,,,
124,2038727.139,373993.1596,1,125,w,8/31/2008,maxar,freshwater,,
125,2150567.139,414853.1596,1,126,g,6/27/2013,maxar,,,
126,2151737.139,304393.1596,1,127,u,,landsat,probably not glacier,,
127,2148347.139,368803.1596,1,128,u,8/22/2012,maxar,very shaded,,
128,2237837.139,-192826.8404,1,129,n,8/14/2005,maxar,,,
129,2141357.139,387703.1596,1,130,u,,maxar,shaded,,
130,2094437.139,332353.1596,1,131,n,12/1/2016,landsat,,,
131,2192477.139,473413.1596,1,132,n,8/12/2012,maxar,,,
132,2055887.139,239983.1596,1,133,g,8/25/2013,maxar,,,
133,2228807.139,421693.1596,1,134,n,8/11/2014,maxar,,,
134,2092727.139,215233.1596,1,135,n,6/20/2003,maxar,,,
135,2157407.139,361603.1596,1,136,n,8/4/2012,maxar,,,
136,2120447.139,346903.1596,1,137,n,12/1/2016,landsat,,,
137,2315567.139,28273.1596,1,138,w,7/13/2009,maxar,,,
138,2152367.139,342913.1596,1,139,u,,maxar,could be glacier,,
139,2147507.139,307513.1596,1,140,u,,maxar,unlikely glacier,,
140,2146667.139,346963.1596,1,141,n,8/4/2012,maxar,,,
141,2107547.139,344503.1596,1,142,u,12/1/2012,maxar,,,
142,2174237.139,385873.1596,1,143,u,8/22/2012,maxar,near glacier,,
143,2211857.139,431473.1596,1,144,n,7/10/2012,maxar,,,
144,2133857.139,303043.1596,1,145,u,,maxar,could be glacier,,
145,2154737.139,350593.1596,1,146,n,8/4/2012,maxar,,,
146,2120057.139,344923.1596,1,147,u,,landsat,,,
147,2239757.139,429853.1596,1,148,n,7/10/2012,maxar,,,
148,2085827.139,231013.1596,1,149,n,8/25/2013,maxar,river bed,,
149,2049977.139,236713.1596,1,150,u,8/25/2013,maxar,could be glacier,,
150,2086727.139,221023.1596,1,151,n,8/17/2013,maxar,,,
151,2134097.139,355603.1596,1,152,n,8/4/2012,maxar,,,
152,2102837.139,342283.1596,1,153,n,,maxar,,,
153,2122307.139,352393.1596,1,154,n,6/7/2011,maxar,,,
154,2103257.139,339373.1596,1,155,n,12/1/2016,landsat,,,
155,2128427.139,416263.1596,1,156,n,12/1/2016,landsat,,,
156,2245667.139,476443.1596,1,157,w,8/7/2004,maxar,,,
