lat,lon,value,id,class,image_date,image_source,notes,discard,reason
2142557.139,386863.1596,1,1,n,8/22/2012,maxar,river bed,,
2253827.139,402193.1596,1,2,w,8/11/2014,maxar,freshwater,,
2099237.139,306493.1596,1,3,u,12/1/2016,landsat,could be glacier,,
2140337.139,310273.1596,1,4,n,3/9/2007,maxar,likely a seasonal snow problem,,
2147327.139,350383.1596,1,5,n,8/4/2012,maxar,likely a seasonal snow problem,,
2119337.139,345223.1596,1,6,n,8/1/2016,landsat,likely a seasonal snow problem,,
2133647.139,375193.1596,1,7,u,,maxar,could be glacier,,
2127167.139,351613.1596,1,8,n,12/1/2016,landsat,,,
2161187.139,312013.1596,1,9,n,12/1/2016,landsat,,,
2164517.139,331753.1596,1,10,n,12/1/2016,landsat,,,
2042147.139,183763.1596,1,11,s,7/1/2007,maxar,seasonal snow,,
2095757.139,321103.1596,1,12,n,8/8/2010,maxar,,,
1950707.139,-186226.8404,1,13,n,6/21/2015,maxar,,,
2131247.139,364123.1596,1,14,u,12/1/2016,landsat,unlikely glacier,,
2175707.139,389233.1596,1,15,u,8/22/2012,maxar,very close to glacier,y,too close to edge
2245247.139,475993.1596,1,16,n,8/22/2012,maxar,,,
2079257.139,271453.1596,1,17,g,8/22/2012,maxar,near edg,m,near edge
2091107.139,326353.1596,1,18,u,,maxar,shaded,,
2025107.139,138403.1596,1,19,n,7/1/2007,maxar,,,
2103107.139,313633.1596,1,20,u,,landsat,could be glacier,,
2167307.139,354613.1596,1,21,n,8/4/2012,maxar,,,
2166467.139,354733.1596,1,22,n,8/4/2012,maxar,,,
2195237.139,339013.1596,1,23,n,8/4/2012,maxar,,,
2120237.139,302983.1596,1,24,n,8/8/2010,maxar,,,
2154197.139,357973.1596,1,25,n,8/4/2012,maxar,,,
2123237.139,325393.1596,1,26,n,8/8/2010,maxar,,,
2100647.139,333853.1596,1,27,n,12/1/2016,landsat,,,
2208677.139,431173.1596,1,28,n,7/10/2012,maxar,river bed,,
1937447.139,-156826.8404,1,29,n,8/23/2014,maxar,river bed,,
2033987.139,2833.1596,1,30,s,8/23/2014,maxar,seasonal snow,,
2155457.139,357463.1596,1,31,n,8/22/2012,maxar,,,
2250827.139,-24586.8404,1,32,n,9/18/2012,maxar,,,
2092847.139,327973.1596,1,33,n,8/8/2010,maxar,,,
2006807.139,379933.1596,1,34,n,12/1/2016,landsat,,,
2094557.139,380833.1596,1,35,n,12/1/2016,landsat,seasonal snow,,
2145347.139,317593.1596,1,36,n,8/20/2009,maxar,,,
2065277.139,191593.1596,1,37,s,5/24/2002,maxar,seasonal snow,,
2121617.139,348073.1596,1,38,n,6/7/2011,maxar,,,
2098787.139,337093.1596,1,39,n,12/1/2016,landsat,,,
2244377.139,478453.1596,1,40,n,8/7/2004,maxar,,,
2162927.139,400303.1596,1,41,u,7/10/2012,maxar,glacier edg,y,too close to edge
2080487.139,271243.1596,1,42,g,6/25/2010,maxar,,,
2125997.139,350173.1596,1,43,n,12/1/2016,landsat,,,
2134127.139,272113.1596,1,44,n,9/19/2012,maxar,shaded snow,,
2311997.139,24793.1596,1,45,w,7/13/2009,maxar,freshwater,,
2313077.139,31843.1596,1,46,w,7/13/2009,maxar,,,
2133197.139,308383.1596,1,47,u,,maxar,too shaded,,
2296037.139,32623.1596,1,48,n,9/24/2012,maxar,,,
2102537.139,335443.1596,1,49,u,12/1/2016,landsat,low res,,
2234267.139,461053.1596,1,50,n,12/1/2016,landsat,river bed,,
2120717.139,348943.1596,1,51,s,6/7/2011,maxar,snow,,
2057267.139,241483.1596,1,52,n,8/25/2013,maxar,near glacier,,
2164097.139,356263.1596,1,53,n,8/4/2012,maxar,,,
2166677.139,339193.1596,1,54,u,12/1/2016,landsat,low res,,
2244407.139,479023.1596,1,55,n,8/7/2004,maxar,,,
2142977.139,367033.1596,1,56,n,8/22/2012,maxar,,,
2204627.139,344683.1596,1,57,n,8/4/2012,maxar,,,
2192207.139,337303.1596,1,58,u,12/1/2016,landsat,low res,,
2166047.139,341083.1596,1,59,u,12/1/2016,landsat,low res,,
2150807.139,236083.1596,1,60,n,7/6/2014,maxar,river bed,,
2119547.139,345433.1596,1,61,n,12/1/2016,maxar,,,
2125157.139,394723.1596,1,62,g,7/10/2012,maxar,,,
2119187.139,301423.1596,1,63,n,12/1/2016,landsat,,,
2154707.139,288163.1596,1,64,n,12/1/2016,landsat,,,
2145437.139,344533.1596,1,65,n,8/4/2012,maxar,,,
2226077.139,-21886.8404,1,66,n,6/13/2012,maxar,,,
2125127.139,346003.1596,1,67,u,,landsat,low res,,
2123537.139,396793.1596,1,68,u,,maxar,insufficient images,,
2270867.139,399523.1596,1,69,n,7/30/2015,maxar,,,
2151317.139,415063.1596,1,70,u,,maxar,insufficient images,,
2126207.139,324793.1596,1,71,n,8/8/2010,maxar,,,
2252027.139,-105616.8404,1,72,n,6/17/2011,maxar,,,
2164727.139,355243.1596,1,73,n,8/4/2012,maxar,,,
2152607.139,366043.1596,1,74,u,,maxar,too shaded,,
2177927.139,345613.1596,1,75,n,8/4/2012,maxar,,,
2118077.139,306103.1596,1,76,u,,landsat,low res,,
2096387.139,298573.1596,1,77,u,,landsat,too shaded,,
2163017.139,354733.1596,1,78,n,8/4/2012,maxar,,,
2155487.139,421333.1596,1,79,u,,landsat,low res,,
2217197.139,-22396.8404,1,80,s,6/13/2012,maxar,seasonal snow,,
2172617.139,403273.1596,1,81,g,7/10/2012,maxar,,,
2153027.139,368383.1596,1,82,n,8/22/2012,maxar,,,
2227547.139,384943.1596,1,83,n,7/10/2012,maxar,,,
2173007.139,340393.1596,1,84,n,12/1/2016,landsat,,,
2267327.139,393703.1596,1,85,w,12/1/2016,landsat,,,
2120927.139,309313.1596,1,86,n,8/8/2010,maxar,,,
2129657.139,364543.1596,1,87,u,,,insufficient images,,
2210417.139,-70366.8404,1,88,w,12/1/2016,landsat,freshwater,,
2127107.139,302233.1596,1,89,n,12/1/2016,landsat,,,
2153177.139,362713.1596,1,90,n,8/22/2012,landsat,,,
2099657.139,341383.1596,1,91,n,12/1/2016,landsat,,,
2029247.139,72853.1596,1,92,n,7/8/2010,maxar,,,
2160107.139,344323.1596,1,93,n,8/4/2012,maxar,,,
2186657.139,397513.1596,1,94,n,7/10/2012,maxar,,,
2146607.139,388333.1596,1,95,n,8/22/2012,maxar,,,
2106137.139,335203.1596,1,96,n,12/1/2016,landsat,,,
2105927.139,403573.1596,1,97,n,12/1/2016,landsat,,,
2219597.139,436603.1596,1,98,n,7/10/2012,maxar,,,
2180417.139,388213.1596,1,99,u,,maxar,glacier edg,y,too close to edge
2024867.139,174103.1596,1,100,u,,maxar,glacier edg,y,too close to edge
2115677.139,335083.1596,1,101,n,12/1/2016,landsat,,,
2159327.139,343453.1596,1,102,n,8/4/2012,maxar,,,
2019677.139,146203.1596,1,103,u,7/10/2012,maxar,glacier  ,y,too small of a feature
2141597.139,344923.1596,1,104,u,,maxar,clouds,,
2186627.139,397873.1596,1,105,n,7/10/2012,maxar,,,
2110607.139,114193.1596,1,106,n,8/21/2011,maxar,,,
2168147.139,336823.1596,1,107,u,,landsat,insufficient images,,
2168117.139,363103.1596,1,108,n,8/22/2012,maxar,,,
2171147.139,394513.1596,1,109,u,,maxar,insufficient images,,
2052557.139,238063.1596,1,110,g,8/2/2013,maxar,,,
2150027.139,309703.1596,1,111,u,,landsat,low res,,
1944677.139,-21466.8404,1,112,u,,landsat,low res,,
2105717.139,327073.1596,1,113,u,,landsat,low res,,
2238227.139,474463.1596,1,114,n,8/21/2004,maxar,,,
2188757.139,291163.1596,1,115,n,12/1/2016,landsat,,,
2145497.139,349663.1596,1,116,u,,maxar,clouds,,
2100407.139,335353.1596,1,117,u,,landsat,low res,,
